tweet,length,sentiment_prediction
germany condemns attack tesla gigafactorynncalling attack form terrorism german politician dietmar woidke said obviously serious attack critical infrastructure consequence thousand people well many small large business country nnleftwing extremist vulkan group claimed responsibility attack stating wanted shut tesla nnthe power supply restored gigafactorynnsource ntv,368,negative
either dumbest ecoterrorists earth puppet good environmental goal nnstopping production electric vehicle rather fossil fuel vehicle ist extrem dumm,147,negative
biden administration would support environmentalist nnlet sink,62,negative
going,5,negative
wow bad place become,20,positive
eco terrorist hurt feeling,26,positive
thank,5,neutral
power supply restored gigafactory n fully restored production resume partly restored essential,94,negative
either organized frustrated unionist legacy auto collusion two,62,negative
thought left proev,18,negative
guess mad tesla solving renewable climate problem proving need destroy society hate society identity wrapped around needing permanent crisis else going,151,positive
could longterm consequence attack critical infrastructure germany relationship foreign investor,95,negative
time uncertainty volatility crucial safeguard critical infrastructure serf foundation societal resilience economic stability implication attack ripple far beyond immediate impact affecting countless individual business interconnected within ecosystem stayvigilant,263,negative
guy need educating realize protesting company trying transition world sustainable energy,88,negative
attack,6,positive
ever invest respected,21,negative
really condemned,16,negative
modern strategic factory run one transformer real questionfor example russia china every strategic factory must independent power line internal generator power source go,169,negative
wan na meet drone camera guy kid got skill,42,negative
militant vegan let rehab,24,negative
environmentalism sending resource third world country environment n,67,negative
obviously care environment future germany auto industry people prosecuted need discovery find behind sabotaging german industry,127,negative
purging earth people chaos effective way achieve thisnnthey deal people disagree,80,negative
antifa need banned,18,negative
antifa,6,negative
concerning nthey simply left wing,33,negative
wokeism destroying europe,25,negative
next wind farm solar panel,26,negative
lmao german end,15,negative
fake poseur activist edgy nerd trying pretend,45,negative
forgot plastic petroleum byproduct think food grows supermarket,63,negative
congo mine,10,negative
sue people one funding,22,negative
climate change myth admit,25,negative
left wing hypocrisy disease,27,negative
clearly gon na destroy entire reputation plan sure thought process,66,negative
smartest german ever met polish,31,negative
insane people get misinformation hype turn loose,48,negative
